cname,cabr,ccode,year,formalconstit,writconstit,ineffect,cease,amend,amfrmlconv,amexec,amleg,amregprov,rat,ratfrmlconv,ratexec,ratleg,ratref,ratregprov,amyear,leg,legcham,lowcham,upcham,chamother,uppub,upselect,upexec,lowpub,lowselect,lowexec,proppub,propexec,propleg,execveto,legveto,removeexec,removeleg,execforce,exectax,execbudget,court,remove,life,courtexec,courtleg,centralbank,dirterm,bankpol,elecexec,elecleg,elecrefer,exleg,execindep,execappoint,milpm,milpres,milnone,legpm,legpres,legnone,callpm,callpres,callnone,schedexec,schedleg,schedboth,schedna,lpartynom,lprimary,lselfnom,lpetition,lexecnom,epartynom,eprimary,eselfnom,epetition,banned,banethnic,banrelig,bansys,banall,stateparty,suffage,suffgen,suffprop,suffparty,suffethrel,suffcrim,suffreg,suffother,election,electexec,electleg,electboth,legcompet,execcompet,electboy,electprot,postprot,legelig,execelig,estabcon_year,execpocketveto,id,estabcon,ceasedate,legelecdate,exelecdate,rattreaty,appelec,whoby,govstruct,regstruct,bankdir,electtime,elecperiod,reservedseat,reservedby,lelecsystem,eelect,eelectrules,parties,electpost,electdelay,protestpart,lastamend,timeineffect,constage,milother,legother,callother,gwno
United States of America,USA,2,1960,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,63.06,63.06,1787,Yes,2 1960,17sep1787,.c,08nov1960,08nov1960,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,0,0,173,0,0,0,2
United States of America,USA,2,1961,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1961,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,1,1,174,0,0,0,2
United States of America,USA,2,1962,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,47.27,.a,1787,Yes,2 1962,17sep1787,.c,06nov1962,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,2,2,175,0,0,0,2
United States of America,USA,2,1963,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1963,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,3,3,176,0,0,0,2
United States of America,USA,2,1964,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,61.92,61.92,1787,Yes,2 1964,17sep1787,.c,03nov1964,03nov1964,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,4,4,177,0,0,0,2
United States of America,USA,2,1965,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1965,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,5,5,178,0,0,0,2
United States of America,USA,2,1966,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,48.38,.a,1787,Yes,2 1966,17sep1787,.c,08nov1966,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,6,6,179,0,0,0,2
United States of America,USA,2,1967,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1967,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,7,7,180,0,0,0,2
United States of America,USA,2,1968,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,.q,60.84,60.84,1787,Yes,2 1968,17sep1787,.c,05nov1968,05nov1968,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,0,8,181,0,0,0,2
United States of America,USA,2,1969,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1969,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,1,9,182,0,0,0,2
United States of America,USA,2,1970,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,.q,46.6,.a,1787,Yes,2 1970,17sep1787,.c,03nov1970,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,3,.p,.p,2,10,183,0,0,0,2
United States of America,USA,2,1971,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2,435,100,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,.o,.o,.o,.a,.a,.o,.o,.o,.o,.o,1787,Yes,2 1971,17sep1787,.c,.o,.a,3,1,1,3,1,3,2,1,3,.m,1,4,1,2,.o,.o,.o,3,11,184,0,0,0,2
