"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,1176,2019010075542,1238.4,2019000011761,180001,4,1,1238.4,0,0,1,27,2,1,100,1,100,5,50,1,10,20000,1,11
2019,201901,1486,2019010094132,774.0,2019000014861,130101,4,1,774.0,0,0,1,37,3,2,200,0,0,7,71,1,10,25000,1,11
2019,201901,2415,2019000001850,6192.0,2019000024151,270301,1,1,6346.8,0,0,1,31,1,1,100,0,0,3,30,1,10,48000,1,11
2019,201901,2724,2019000024684,11455.2,2019000027241,120001,1,1,11610.0,0,0,2,56,1,1,100,0,0,6,63,1,10,3500,1,11
2019,201901,2724,2019000024684,11455.2,2019000027241,120001,1,2,15944.4,0,0,1,56,1,2,200,0,0,6,63,1,10,60000,1,11
2019,201901,2879,2019000035140,8359.2,2019000028791,210001,1,1,8359.2,1,0,1,64,1,1,100,0,0,7,71,1,10,0,1,11
2019,201901,2879,2019000035140,8359.2,2019000028791,210001,1,2,8978.4,1,0,2,56,1,1,100,0,0,6,63,1,10,34000,1,11
2019,201901,3034,2019000045932,12229.2,2019000030341,140001,1,1,12229.2,2,0,1,52,1,1,100,0,0,6,63,1,10,125000,1,11
2019,201901,3498,2019000077347,18266.4,2019000034981,110001,1,1,18266.4,1,0,1,44,1,1,100,0,0,6,65,1,10,60000,1,13
2019,201901,3498,2019000077347,18266.4,2019000034981,110001,1,2,17028.0,1,0,2,41,1,1,100,0,0,11,114,1,10,47300,1,11
2019,201901,3653,2019000086962,10836.0,2019000036531,250001,1,1,10990.8,0,0,2,60,1,1,100,0,0,6,64,1,10,70000,1,11
2019,201901,3653,2019000086962,10836.0,2019000036531,250001,1,2,12693.6,0,0,1,62,1,1,100,0,0,6,61,1,10,21000,1,11
2019,201901,3808,2019000098251,10216.8,2019000038081,270301,1,1,10216.8,1,0,2,53,4,2,200,0,0,6,63,1,10,25000,1,11
2019,201901,3808,2019000098251,10216.8,2019000038081,270301,1,2,28947.6,0,0,1,27,6,2,200,0,0,6,63,1,10,30000,1,11
2019,201901,3963,2019000108601,12074.4,2019000039631,250001,1,1,11919.6,1,1,1,31,1,1,100,0,0,8,81,1,14,30000,1,12
2019,201901,4272,2019000129712,18576.0,2019000042721,120001,1,1,18576.0,2,1,1,38,1,2,200,0,0,6,65,1,10,39000,1,11
2019,201901,4272,2019000129712,18576.0,2019000042721,120001,1,2,19350.0,2,1,2,36,1,2,200,0,0,0,2,1,10,72000,1,11
2019,201901,4582,2019000150163,9597.6,2019000045821,100001,1,1,9752.4,0,0,2,56,1,1,100,0,0,10,101,1,10,0,1,11
2019,201901,4582,2019000150163,9597.6,2019000045821,100001,1,2,9288.0,0,0,1,62,1,1,100,0,0,6,63,1,10,30000,1,11
2019,201901,4892,2019000172557,1238.4,2019000048921,240001,1,1,1238.4,1,0,1,48,1,1,100,0,0,8,81,1,10,45000,1,11
2019,201901,4892,2019000172557,1238.4,2019000048921,240001,1,2,2476.8,1,0,2,41,1,1,100,0,0,10,101,1,10,40000,1,11
